행정구역,2020년1월_총인구수,2020년2월_총인구수,2020년3월_총인구수,2020년4월_총인구수,2020년5월_총인구수,2020년6월_총인구수,2020년7월_총인구수,2020년8월_총인구수,2020년9월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,위도,경도
구로구,406751,406245,405837,405271,405030,405075,405260,405495,405579,405481,405194,404408,37.49570011,126.8876391
금천구,233066,232827,232583,232396,232425,232250,231939,232013,232157,232173,232003,231733,37.45695405,126.895379
영등포구,367916,370108,371903,372225,372568,373349,374097,375133,375630,376924,378276,379480,37.52652266,126.8962345
동작구,395636,395201,395014,394988,395180,395165,394905,394118,393554,392674,391896,391220,37.51261701,126.9397997
관악구,499869,499587,499374,498978,499431,499740,499729,499316,498574,497082,496059,495060,37.47828858,126.9514609
서초구,431050,431336,430568,429729,429340,428919,428252,427237,426009,425558,425431,425126,37.48375739,127.0326987
강남구,545938,546436,544804,543240,541915,541233,540636,540148,539235,540127,539838,539231,37.51768528,127.047386
송파구,676341,675782,674095,672862,672089,671512,671589,671312,670331,668920,668498,667960,37.5146405,127.105894
강동구,440795,446887,452646,455042,456312,457164,457339,457330,458058,458495,458604,459970,37.53028931,127.1237639
중구,41830,41826,41764,41714,41742,41652,41633,41630,41593,41547,41501,41523,35.10653923,129.0322797
서구,107973,107844,107669,107722,107868,107947,107934,107768,107689,107996,108119,108135,35.09811743,129.0242148
동구,88292,88439,89289,89673,89710,89698,89721,89665,89410,89205,89031,88901,35.12951925,129.0454126
영도구,116447,116155,115886,115645,115388,115120,114873,114511,114252,113909,113621,113342,35.09140559,129.0678947
부산진구,357284,356811,356661,356978,357190,357242,357695,357768,357558,358317,359375,359886,35.16304228,129.0530903
동래구,271562,271528,272319,272570,272532,272476,272554,272182,271980,271633,271187,270745,35.1967203,129.0930973
남구,273707,272927,272381,271674,271183,270606,270125,269626,269251,268711,268249,267731,35.1367524,129.0844303
북구,290908,290230,289575,289059,288986,288376,287736,286865,286327,285507,284872,283952,35.19746596,128.9902986
해운대구,406312,405708,405155,405268,404459,403923,403878,403118,402749,402820,402518,402169,35.16335254,129.1638847
사하구,320254,319542,318866,318196,317747,317258,316705,315748,314728,313677,312840,311757,35.1045808,128.9749752
금정구,238556,238208,237508,236904,236596,236009,235155,234640,234135,233601,233303,232666,35.2430003,129.0921739
강서구,130298,130748,131140,131235,131557,131779,131979,133354,135330,136485,137229,137957,35.21241036,128.9804872
